We have an agreed and written a strategic plan that defines our go-to-market strategy and differentiated market position.,We have an agreed and written a strategic plan that defines our go-to-market strategy and differentiated market position.,Alignment,10
"We understand, maintain and agree business requirements for marketing technology.","We understand, maintain and agree business requirements for marketing technology.",Alignment,10
"Our sales, marketing and training teams are actively participating in developing and executing our revenue strategy.","Our sales, marketing and training teams are actively participating in developing and executing our revenue strategy.",Alignment,10
Marketing and sales are sligned around a common vision and process for revenue generation.,Marketing and sales are sligned around a common vision and process for revenue generation.,Alignment,10
We have a shared vision for revenue acceleration which is consistent with our overall business strategy for shareholder value.,We have a shared vision for revenue acceleration which is consistent with our overall business strategy for shareholder value.,Alignment,10
"We have a sustainable strategy that is defensible in the market, attracts the right talent, and uses resources wisely.","We have a sustainable strategy that is defensible in the market, attracts the right talent, and uses resources wisely.",Alignment,10
Our messaging is clear and distinct across segments and customer stages ,Our messaging is clear and distinct across segments and customer stages ,Branding,10
We have a distinctive brand and visual identity,We have a distinctive brand and visual identity,Branding,10
We understand our competitive differentiation?,We understand our competitive differentiation?,Competition,10
We have differentiated our products and services effectively against our competition and mapped them to customer needs,We have differentiated our products and services effectively against our competition and mapped them to customer needs,Competition,10
We maintain continuous innovation to stay ahead of trends and strategies - including digital marketing and sales,We maintain continuous innovation to stay ahead of trends and strategies - including digital marketing and sales,Competition,10
We collect actionable feedback and insight from customers and benchmark customer experience against peers and competitors.,We collect actionable feedback and insight from customers and benchmark customer experience against peers and competitors.,Customer Strategy,10
We deliver a distinctive customer experience at each stage of the relationship lifecycle,We deliver a distinctive customer experience at each stage of the relationship lifecycle,Customer Strategy,10
We have mapped the customer journey and understand which touchpoints offer the greatest impact on revenue performance.,We have mapped the customer journey and understand which touchpoints offer the greatest impact on revenue performance.,Customer Strategy,10
Our strategy defines how we will attract and engage our target audience across the buying stages.,Our strategy defines how we will attract and engage our target audience across the buying stages.,Customer Strategy,10
"Segmentation is “ADAMS” Accessible to reach, Differential, respond differently to  marketing mix, Actionable: with offers, Measurable purchasing power","Segmentation is “ADAMS” Accessible to reach, Differential, respond differently to  marketing mix, Actionable: with offers, Measurable purchasing power",Customer Strategy,10
